name,link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,link_type_name,jam_density,wave_speed,demand_type_code,count_sensor_id,speed_sensor_id,geometry,
Shore Drive,0,11,10,1,0.06214,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.002841,0.0 1.180605,0.002841,0.0</coordinates></LineString>",
Shore Freeway,0,11,12,1,0.06602,3,60.0000,1900.0000,1,Freeway,180.0,12.0,,,"","<LineString><coordinates>1.242742,-0.002841,0.0 1.308763,-0.002841,0.0</coordinates></LineString>",
Shore Freeway,0,12,11,1,0.06602,3,60.0000,1900.0000,1,Freeway,180.0,12.0,,,"","<LineString><coordinates>1.308763,0.002841,0.0 1.242742,0.002841,0.0</coordinates></LineString>",
0 Street,0,2,3,1,0.06163,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.621371,-0.002841,0.0 0.683000,-0.002841,0.0</coordinates></LineString>",
0 Street,0,3,2,1,0.06163,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.683000,0.002841,0.0 0.621371,0.002841,0.0</coordinates></LineString>",
0 Street,0,3,5,1,0.06888,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.683000,0.000000,0.0 0.745000,-0.030000,0.0</coordinates></LineString>",
0 Street,0,5,7,1,0.06500,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.745000,-0.030000,0.0 0.810000,-0.030000,0.0</coordinates></LineString>",
0 Street,0,6,3,1,0.12700,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.810000,0.000000,0.0 0.683000,0.000000,0.0</coordinates></LineString>",
Shore Freeway,0,12,16,1,0.05825,6,65.0000,1900.0000,1,Freeway,180.0,12.0,,,"","<LineString><coordinates>1.308763,-0.002841,0.0 1.367016,-0.002841,0.0</coordinates></LineString>",
Shore Freeway,0,16,12,1,0.05825,6,65.0000,1900.0000,1,Freeway,180.0,12.0,,,"","<LineString><coordinates>1.367016,0.002841,0.0 1.308763,0.002841,0.0</coordinates></LineString>",
0 Street,0,1,17,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.000000,-0.002841,0.0 0.310686,-0.002841,0.0</coordinates></LineString>",
0 Street,0,17,1,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.002841,0.0 0.000000,0.002841,0.0</coordinates></LineString>",
0 Street,0,17,2,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.310686,-0.002841,0.0 0.621371,-0.002841,0.0</coordinates></LineString>",
0 Street,0,2,17,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.621371,0.002841,0.0 0.310686,0.002841,0.0</coordinates></LineString>",
River Drive,0,1,18,1,0.31069,3,15.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.002841,0.000000,0.0 0.002841,0.310686,0.0</coordinates></LineString>",
River Drive,0,18,1,1,0.31069,3,15.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>-0.002841,0.310686,0.0 -0.002841,0.000000,0.0</coordinates></LineString>",
River Drive,0,18,24,1,0.31069,3,15.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.002841,0.310686,0.0 0.002841,0.621371,0.0</coordinates></LineString>",
River Drive,0,24,18,1,0.31069,3,15.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>-0.002841,0.621371,0.0 -0.002841,0.310686,0.0</coordinates></LineString>",
10 Avenue,0,2,20,1,0.31069,2,15.0000,1900.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.624212,0.000000,0.0 0.624212,0.310686,0.0</coordinates></LineString>",
10 Avenue,0,20,2,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.618530,0.310686,0.0 0.618530,0.000000,0.0</coordinates></LineString>",
10 Avenue,0,20,26,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.624212,0.310686,0.0 0.624212,0.621371,0.0</coordinates></LineString>",
10 Avenue,0,26,20,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.618530,0.621371,0.0 0.618530,0.310686,0.0</coordinates></LineString>",
20 Avenue,0,11,23,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.000000,0.0 1.242742,0.310686,0.0</coordinates></LineString>",
20 Avenue,0,23,29,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.310686,0.0 1.242742,0.621371,0.0</coordinates></LineString>",
19 Avenue,0,28,22,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.621371,0.0 1.180605,0.310686,0.0</coordinates></LineString>",
19 Avenue,0,22,10,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.310686,0.0 1.180605,0.000000,0.0</coordinates></LineString>",
5 Street,0,22,23,1,0.06214,2,30.0000,1000.0000,5,Minor arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.307845,0.0 1.242742,0.307845,0.0</coordinates></LineString>",
5 Street,0,23,22,1,0.06214,2,30.0000,1000.0000,5,Minor arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.313526,0.0 1.180605,0.313526,0.0</coordinates></LineString>",
10 Street,0,24,25,1,0.31069,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.000000,0.618530,0.0 0.310686,0.618530,0.0</coordinates></LineString>",
10 Street,0,25,24,1,0.31069,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.624212,0.0 0.000000,0.624212,0.0</coordinates></LineString>",
10 Street,0,25,26,1,0.31069,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.618530,0.0 0.621371,0.618530,0.0</coordinates></LineString>",
10 Street,0,26,25,1,0.31069,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.621371,0.624212,0.0 0.310686,0.624212,0.0</coordinates></LineString>",
10 Street,0,26,27,1,0.31069,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.621371,0.618530,0.0 0.932057,0.618530,0.0</coordinates></LineString>",
10 Street,0,27,26,1,0.31069,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.932057,0.624212,0.0 0.621371,0.624212,0.0</coordinates></LineString>",
10 Street,0,27,28,1,0.24855,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.932057,0.618530,0.0 1.180605,0.618530,0.0</coordinates></LineString>",
10 Street,0,28,27,1,0.24855,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.624212,0.0 0.932057,0.624212,0.0</coordinates></LineString>",
10 Street,0,28,29,1,0.06214,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.618530,0.0 1.242742,0.618530,0.0</coordinates></LineString>",
10 Street,0,29,28,1,0.06214,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.624212,0.0 1.180605,0.624212,0.0</coordinates></LineString>",
10 Street,0,29,30,1,0.06602,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.618530,0.0 1.308763,0.618530,0.0</coordinates></LineString>",
10 Street,0,30,29,1,0.06602,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.308763,0.624212,0.0 1.242742,0.624212,0.0</coordinates></LineString>",
10 Street,0,30,31,1,0.05825,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.308763,0.618530,0.0 1.367016,0.618530,0.0</coordinates></LineString>",
10 Street,0,31,30,1,0.05825,3,10.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.367016,0.624212,0.0 1.308763,0.624212,0.0</coordinates></LineString>",
Centroid Connector,0,18,19,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.000000,0.310686,0.0 0.310686,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,19,18,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.310686,0.0 0.000000,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,19,20,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.310686,0.0 0.621371,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,20,19,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.621371,0.310686,0.0 0.310686,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,25,19,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.621371,0.0 0.310686,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,19,25,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.310686,0.0 0.310686,0.621371,0.0</coordinates></LineString>",
Centroid Connector,0,19,17,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.310686,0.0 0.310686,0.000000,0.0</coordinates></LineString>",
Centroid Connector,0,17,19,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.000000,0.0 0.310686,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,20,21,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.621371,0.310686,0.0 0.932057,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,21,20,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932057,0.310686,0.0 0.621371,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,27,21,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932057,0.621371,0.0 0.932057,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,21,27,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932057,0.310686,0.0 0.932057,0.621371,0.0</coordinates></LineString>",
Centroid Connector,0,21,22,1,0.24855,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932057,0.310686,0.0 1.180605,0.310686,0.0</coordinates></LineString>",
Centroid Connector,0,22,21,1,0.24855,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.310686,0.0 0.932057,0.310686,0.0</coordinates></LineString>",
River Drive,0,24,32,1,0.18641,3,20.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.002841,0.621371,0.0 0.002841,0.807782,0.0</coordinates></LineString>",
River Drive,0,32,24,1,0.18641,3,20.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>-0.002841,0.807782,0.0 -0.002841,0.621371,0.0</coordinates></LineString>",
River Drive,0,32,33,1,0.26363,3,20.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.002000,0.805782,0.0 0.188411,0.992194,0.0</coordinates></LineString>",
River Drive,0,33,32,1,0.26363,3,20.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.184411,0.996194,0.0 -0.002000,0.809782,0.0</coordinates></LineString>",
River Drive,0,33,40,1,0.35150,3,20.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.188411,0.992194,0.0 0.436960,1.240742,0.0</coordinates></LineString>",
River Drive,0,40,33,1,0.35150,3,20.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.432960,1.244742,0.0 0.184411,0.996194,0.0</coordinates></LineString>",
Port Avenue,0,24,34,1,0.43938,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.002000,0.619371,0.0 0.312686,0.930056,0.0</coordinates></LineString>",
Port Avenue,0,34,24,1,0.43938,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.308686,0.934056,0.0 -0.002000,0.623371,0.0</coordinates></LineString>",
Port Avenue,0,34,41,1,0.43938,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.312686,0.930056,0.0 0.623371,1.240742,0.0</coordinates></LineString>",
Port Avenue,0,41,34,1,0.43938,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.619371,1.244742,0.0 0.308686,0.934056,0.0</coordinates></LineString>",
10 Avenue,0,26,36,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.624212,0.621371,0.0 0.624212,0.932056,0.0</coordinates></LineString>",
10 Avenue,0,36,26,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.618530,0.932056,0.0 0.618530,0.621371,0.0</coordinates></LineString>",
10 Avenue,0,36,41,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.624212,0.932056,0.0 0.624212,1.242742,0.0</coordinates></LineString>",
10 Avenue,0,41,36,1,0.31069,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.618530,1.242742,0.0 0.618530,0.932056,0.0</coordinates></LineString>",
20 Street,0,40,41,1,0.18641,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.434960,1.239901,0.0 0.621371,1.239901,0.0</coordinates></LineString>",
20 Street,0,41,40,1,0.18641,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.621371,1.245583,0.0 0.434960,1.245583,0.0</coordinates></LineString>",
20 Street,0,41,42,1,0.31069,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.621371,1.239901,0.0 0.932056,1.239901,0.0</coordinates></LineString>",
20 Street,0,42,41,1,0.31069,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.932056,1.245583,0.0 0.621371,1.245583,0.0</coordinates></LineString>",
20 Street,0,42,43,1,0.24855,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.932056,1.239901,0.0 1.180605,1.239901,0.0</coordinates></LineString>",
20 Street,0,43,42,1,0.24855,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,1.245583,0.0 0.932056,1.245583,0.0</coordinates></LineString>",
20 Street,0,43,44,1,0.06214,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,1.239901,0.0 1.242742,1.239901,0.0</coordinates></LineString>",
20 Street,0,44,43,1,0.06214,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,1.245583,0.0 1.180605,1.245583,0.0</coordinates></LineString>",
20 Street,0,44,45,1,0.12427,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,1.239901,0.0 1.367016,1.239901,0.0</coordinates></LineString>",
20 Street,0,45,44,1,0.12427,2,20.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.367016,1.245583,0.0 1.242742,1.245583,0.0</coordinates></LineString>",
20 Avenue,0,29,39,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.621371,0.0 1.242742,0.932056,0.0</coordinates></LineString>",
20 Avenue,0,39,44,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.932056,0.0 1.242742,1.242742,0.0</coordinates></LineString>",
19 Avenue,0,43,38,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,1.242742,0.0 1.180605,0.932056,0.0</coordinates></LineString>",
19 Avenue,0,38,28,1,0.31069,3,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.932056,0.0 1.180605,0.621371,0.0</coordinates></LineString>",
15 Street,0,39,38,1,0.06214,2,30.0000,1000.0000,5,Minor arterial,180.0,12.0,,,"","<LineString><coordinates>1.242742,0.934897,0.0 1.180605,0.934897,0.0</coordinates></LineString>",
Centroid Connector,0,33,46,1,0.06214,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.186411,0.994194,0.0 0.248548,0.994194,0.0</coordinates></LineString>",
Centroid Connector,0,46,33,1,0.06214,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.248548,0.994194,0.0 0.186411,0.994194,0.0</coordinates></LineString>",
Centroid Connector,0,46,34,1,0.08788,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.248548,0.994194,0.0 0.310686,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,34,46,1,0.08788,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.932056,0.0 0.248548,0.994194,0.0</coordinates></LineString>",
Centroid Connector,0,34,35,1,0.14646,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.932056,0.0 0.414247,0.828495,0.0</coordinates></LineString>",
Centroid Connector,0,35,34,1,0.14646,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.414247,0.828495,0.0 0.310686,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,35,25,1,0.23157,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.414247,0.828495,0.0 0.310686,0.621371,0.0</coordinates></LineString>",
Centroid Connector,0,25,35,1,0.23157,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.310686,0.621371,0.0 0.414247,0.828495,0.0</coordinates></LineString>",
Centroid Connector,0,35,36,1,0.23157,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.414247,0.828495,0.0 0.621371,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,36,35,1,0.23157,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.621371,0.932056,0.0 0.414247,0.828495,0.0</coordinates></LineString>",
Centroid Connector,0,36,37,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.621371,0.932056,0.0 0.932056,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,37,36,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932056,0.932056,0.0 0.621371,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,37,27,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932056,0.932056,0.0 0.932057,0.621371,0.0</coordinates></LineString>",
Centroid Connector,0,27,37,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932057,0.621371,0.0 0.932056,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,37,38,1,0.24855,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932056,0.932056,0.0 1.180605,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,38,37,1,0.24855,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.932056,0.0 0.932056,0.932056,0.0</coordinates></LineString>",
Centroid Connector,0,37,42,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932056,0.932056,0.0 0.932056,1.242742,0.0</coordinates></LineString>",
Centroid Connector,0,42,37,1,0.31069,2,10.0000,1000.0000,10,Zonal connector,180.0,12.0,,,"","<LineString><coordinates>0.932056,1.242742,0.0 0.932056,0.932056,0.0</coordinates></LineString>",
River Drive,0,40,47,1,0.26363,3,35.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.436960,1.240742,0.0 0.623371,1.427153,0.0</coordinates></LineString>",
River Drive,0,47,40,1,0.26363,3,35.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.619371,1.431153,0.0 0.432960,1.244742,0.0</coordinates></LineString>",
River Drive,0,47,48,1,0.13894,3,35.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.623871,1.429153,0.0 0.686008,1.553428,0.0</coordinates></LineString>",
River Drive,0,48,47,1,0.13894,3,35.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.681008,1.553428,0.0 0.618871,1.429153,0.0</coordinates></LineString>",
River Drive,0,48,52,1,0.34736,3,35.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.686008,1.553428,0.0 0.841351,1.864113,0.0</coordinates></LineString>",
River Drive,0,52,48,1,0.34736,3,35.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.836351,1.864113,0.0 0.681008,1.553428,0.0</coordinates></LineString>",
10 Avenue,0,41,47,1,0.18641,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.624212,1.242742,0.0 0.624212,1.429153,0.0</coordinates></LineString>",
10 Avenue,0,47,41,1,0.18641,2,15.0000,1000.0000,4,Major arterial,180.0,12.0,,,"","<LineString><coordinates>0.618530,1.429153,0.0 0.618530,1.242742,0.0</coordinates></LineString>",
30 Street,0,52,53,1,0.09321,2,30.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.838851,1.861272,0.0 0.932056,1.861272,0.0</coordinates></LineString>",
30 Street,0,53,52,1,0.09321,2,30.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.932056,1.866954,0.0 0.838851,1.866954,0.0</coordinates></LineString>",
30 Street,0,53,54,1,0.24855,2,30.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.932056,1.861272,0.0 1.180605,1.861272,0.0</coordinates></LineString>",
30 Street,0,54,53,1,0.24855,2,30.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,1.866954,0.0 0.932056,1.866954,0.0</coordinates></LineString>",
30 Street,0,54,55,1,0.06214,2,30.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,1.861272,0.0 1.242742,1.861272,0.0</coordinates></LineString>",
